Time;Bus;Typ;Res;Stat/Err;N0;N1;N2;N3;N4;N5;N6;CRC;Rx Time;Sync Time;Skipped
1,044855610947565;1;512;0;"0000";0;0;0;0;0;0;0;0;0;0;n/a
1,045028608246999;1;0;0;"0000";0;0;12;1;14;10;4;13;123237452;31484;2
1,064710852067174;1;0;0;"0100";4;1;12;1;4;10;6;14;123244695;31495;1
1,0749579628889974;1;64;0;"1001";9;12;4;5;3;2;8;0;123251868;31495;n/a
1,0919688161067471;1;0;0;"0100";4;2;12;0;4;2;2;12;123251868;31495;1
1,10659715544773;1;0;0;"1100";12;3;12;3;10;3;1;13;123258548;31495;1
1,1219651507007828;1;0;0;"1100";12;4;12;5;1;0;0;10;123265897;31495;1
1,13734547355237;1;0;0;"1000";8;5;12;0;8;4;0;6;123272788;31496;1
1,153895685504881;1;0;0;"1000";8;6;12;1;4;7;15;7;123279645;31495;1
1,1685725134000997;1;0;0;"1000";8;7;12;2;7;0;4;15;123287099;31495;1
1,1916826514527663;1;0;0;"1000";8;8;12;2;8;3;4;15;123294377;31495;1
1,200923419314224;1;0;0;"0000";0;9;12;15;8;8;7;8;123301831;31495;1
1,2156401064447042;1;0;0;"0100";4;10;12;5;15;4;3;1;123309531;31496;1
1,2309735844218603;1;0;0;"1000";8;11;12;5;0;4;15;12;123316774;31496;1
1,246612786842672;1;0;0;"0000";0;12;12;4;15;5;0;7;123324474;31495;1
1,2621730926328627;1;0;0;"0000";0;13;12;2;13;3;8;9;123331752;31495;1
1,2780514504652436;1;0;0;"1000";8;14;12;11;0;8;0;1;123339207;31495;1
1,2939552853345957;1;512;0;"0000";0;0;0;0;0;0;0;0;0;0;n/a
1,2940691101610642;1;0;0;"0000";0;0;13;1;14;10;4;3;123346450;31484;2
1,310545767442319;1;0;0;"1100";12;1;13;1;4;10;6;0;123353376;31496;1
1,324471433666836;1;0;0;"1000";8;2;13;0;4;2;2;2;123360373;31495;1
1,3405162140794324;1;0;0;"0000";0;3;13;3;10;3;1;3;123366878;31495;1
1,3562178763328188;1;0;0;"1000";8;4;13;5;1;0;0;4;123373488;31495;1
1,3715419031510985;1;0;0;"0000";0;5;13;0;8;4;0;8;123380063;31495;1
1,387254249323215;1;64;0;"1001";9;13;4;1;0;3;0;0;123380063;31495;n/a
1,403270676259182;1;0;0;"1000";8;6;13;1;4;7;15;9;123386744;31495;1
1,4185803208791714;1;0;0;"1100";12;7;13;2;7;0;4;1;123394303;31495;1
1,4338911982590143;1;0;0;"1000";8;8;13;2;8;3;4;1;123401265;31495;1
1,4492879579086475;1;0;0;"1000";8;9;13;15;8;8;7;6;123408263;31495;1
1,4656992789176697;1;0;0;"1100";12;10;13;5;15;4;3;15;123416209;31495;1
1,4812916364640503;1;0;0;"1000";8;11;13;5;0;4;15;2;123424261;31495;1
1,497106712623954;1;0;0;"0000";0;12;13;4;15;5;0;9;123431644;31495;1
1,5127623518428117;1;0;0;"0100";4;13;13;2;13;3;8;7;123439027;31495;1
1,5280662435834849;1;0;0;"1000";8;14;13;3;0;8;0;8;123446587;31495;1
1,5574219539736782;1;512;0;"0000";0;0;0;0;0;0;0;0;0;0;n/a
1,5576496036266152;1;0;0;"0000";0;0;14;1;14;10;4;12;123453830;31484;2
1,5590915217352;1;0;0;"0000";0;1;14;1;4;10;6;15;123461108;31495;1
1,5741850224608844;1;0;0;"1000";8;2;14;0;4;2;2;13;123468245;31495;1
1,5902072022761677;1;0;0;"0000";0;3;14;3;10;3;1;12;123475173;31496;1
1,6057753155454304;1;0;0;"1100";12;4;14;5;1;0;0;11;123482135;31495;1
1,62111002628244;1;0;0;"1000";8;5;14;0;8;4;0;7;123489131;31495;1
1,6365741768040618;1;0;0;"1000";8;6;14;1;4;7;15;6;123496093;31495;1
1,6524956812313134;1;0;0;"0000";0;7;14;2;7;0;4;14;123503582;31495;1
1,6687151026231486;1;0;0;"0000";0;8;14;1;4;0;12;6;123510614;31496;1
1,6846041443742594;1;64;0;"1001";9;14;4;1;0;1;2;0;123510614;31496;n/a
1,6994260270122339;1;0;0;"1000";8;9;14;15;8;8;7;9;123517541;31495;1
1,715217269814971;1;0;0;"1000";8;10;14;5;10;1;1;11;123525627;31495;1
1,730202287673552;1;0;0;"1100";12;11;14;4;15;4;15;3;123533081;31495;1
1,7466662064363214;1;0;0;"1000";8;12;14;4;15;5;0;6;123541169;31495;1
1,7614211091222585;1;0;0;"1100";12;13;14;2;13;5;3;15;123548763;31496;1
1,777133455294375;1;0;0;"1100";12;14;14;11;0;12;0;8;123556815;31495;1
1,796807891635478;1;512;0;"0000";0;0;0;0;0;0;0;0;0;0;n/a
1,8053718743373917;1;0;0;"0000";0;0;15;1;14;10;4;2;123564655;31484;2
1,8094720336099646;1;0;0;"0100";4;1;15;1;4;10;6;1;123571617;31495;1
1,8237642404309071;1;0;0;"1000";8;2;15;0;4;2;2;3;123578438;31495;1
